Year,PlayerID,Country,Total,Rank,Game
2011,Mvp,KR,257731.9,1,StarCraft II
2011,LighTofHeaveN,RU,205722.55,2,Dota2
2011,Dendi,UA,204336.62,3,Dota2
2011,XBOCT,UA,204336.62,4,Dota2
2011,Puppey,EE,203870.07,5,Dota2
2012,Faith,CN,218219.79,1,Dota2
2012,Ferrari_430,CN,218219.79,2,Dota2
2012,YYF,CN,218219.79,3,Dota2
2012,Zhou,CN,218219.79,4,Dota2
2012,ChuaN,MY,214352.45,5,Dota2
2013,s4,SE,320987.46,1,Dota2
2013,Loda,SE,320827.46,2,Dota2
2013,Akke,SE,320827.46,3,Dota2
2013,AdmiralBulldog,SE,320827.46,4,Dota2
2013,EGM,SE,320827.46,5,Dota2
2014,Hao,CN,1112281,1,Dota2
2014,Banana,CN,1112281,2,Dota2
2014,Mu,CN,1098069.22,3,Dota2
2014,SanSheng,CN,1098069.22,4,Dota2
2014,xiao8,CN,1032369.95,5,Dota2
2015,SumaiL,PA,1730083.34,1,Dota2
2015,UNiVeRsE,US,1730083.34,2,Dota2
2015,ppd,US,1730083.34,3,Dota2
2015,Fear,US,1730083.34,4,Dota2
2015,Aui_200,CA,1641751.74,5,Dota2
2016,y`,CN,1923676.32,1,Dota2
2016,Faith_bian,CN,1923676.32,2,Dota2
2016,iceice,CN,1923676.32,3,Dota2
2016,Shadow,CN,1923676.32,4,Dota2
2016,bLink,CN,1923676.32,5,Dota2
2017,KuroKy,DE,2436772.4,1,Dota2
2017,Miracle-,JO,2421583.03,2,Dota2
2017,MinD_ContRoL,BG,2421272.4,3,Dota2
2017,GH,LB,2420658.78,4,Dota2
2017,Matumbaman,FI,2416772.4,5,Dota2
2018,JerAx,FI,2290631.6,1,Dota2
2018,N0tail,DK,2282716.63,2,Dota2
2018,7ckngMad,FR,2280216.63,3,Dota2
2018,Topson,FI,2249841.6,4,Dota2
2018,ana,AU,2249136.18,5,Dota2
